groupID,nucleus_size,inner_word_length,conjugator_length,r_len,list_size,depth_approx,time_depth_approx,outcome,time_attack

GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_5_1,9,2,2,10,5,3,2299,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_5_3,9,2,2,10,5,3,2178,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_7_3,13,1,1,10,5,3,3299,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_5_1,9,2,2,10,10,3,2299,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_7_1,13,1,1,10,5,3,3071,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_5_1,9,2,2,100,5,5,60920,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,12899
GGS_STAB_5_3,9,2,2,10,10,3,2178,-3
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13753
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,16355
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13468
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,16086
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13491
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,16101
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13931
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,15394
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13381
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13215
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,15188
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13299
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,15543
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13681
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,15492
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_3_1,5,3,3,10,5,3,1158,0,13717
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,16215
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14093
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,15457
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14138
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_3_2,5,3,3,10,5,3,1062,0,15347
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14498
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14269
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,18009
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,13896
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17399
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14511
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17690
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14506
GGS_STAB_5_1,9,2,2,100,10,5,60920,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14221
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17737
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14258
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17769
GGS_STAB_3_1,5,3,3,10,10,3,1158,0,14272
IMG,4,3,3,10,5,8,36,0,9415
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
IMG,4,3,3,10,5,8,36,0,7282
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,19299
GGS_STAB_7_3,13,1,1,10,10,3,3299,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17020
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17128
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17605
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_3_2,5,3,3,10,10,3,1062,0,17113
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,5,4,53650,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_5_1,9,2,2,1000,5,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_7_3,13,1,1,100,5,4,72505,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_5_1,9,2,2,1000,10,6,3000947,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,-3
GGS_STAB_5_3,9,2,2,100,10,4,53650,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,15897
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,15073
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,83206
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_7_1,13,1,1,10,10,3,3071,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_5_3,9,2,2,1000,5,6,2217530,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_3,13,1,1,100,10,4,72505,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,15072
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,17191
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,15248
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,16408
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,15368
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_3_2,5,3,3,100,5,5,14406,0,76839
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,16037
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,13737
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_5_3,9,2,2,1000,10,6,2217530,-3
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_7_1,13,1,1,100,5,4,66137,-3
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,146239
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,13563
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_7_1,13,1,1,100,10,4,66137,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,145881
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_3_1,5,3,3,100,5,5,14085,0,15410
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14580
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14367
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_7_3,13,1,1,1000,5,5,4838218,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14913
GGS_STAB_7_2,13,1,1,10,5,3,2174,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14529
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14470
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14597
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_7_2,13,1,1,10,5,3,2174,-3
GGS_STAB_7_1,13,1,1,100,10,4,66137,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14768
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14242
GGS_STAB_7_3,13,1,1,1000,10,5,4838218,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,15472
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_7_2,13,1,1,10,5,3,2174,-3
GGS_STAB_3_1,5,3,3,100,10,5,14085,0,14347
GGS_STAB_3_1,5,3,3,1000,5,6,476603,0,15050
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_7_2,13,1,1,10,5,3,2174,-3
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_7_3,13,1,1,1000,10,5,4838218,-3
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GGS_STAB_7_1,13,1,1,100,10,4,66137,-3
GGS_STAB_7_2,13,1,1,10,5,3,2174,-3
GGS_STAB_5_2,9,2,2,10,5,3,1084,-3
GRIGORCHUK,5,3,3,10,5,4,65,-1
